id,type,question_original,question_perturbed,query_logic,question_noise_level,noise_type,orig_len,pert_len,len_ratio,semantic_flags,needs_review
MH01,MultiHop,정보통신산업진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,NIPA가 시행기관인 사업들의 소관기관을 최대 3개까지 알려줘.,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 소관 list up to 3,L1_strict,abbreviation,38,35,0.9210526315789473,,False
MH02,MultiHop,한국지능정보사회진흥원이 시행기관인 사업들이 속한 단위사업명 3개까지 나열하시오.,NIA가 시행기관으로 있는 사업들이 포함된 단위사업명을 최대 3개까지 알려줘.,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 단위사업명 list up to 3,L1_strict,abbreviation,44,43,0.9772727272727273,,False
MH03,MultiHop,한국산업은행이 시행기관인 사업들의 소관기관과 지원형태를 나열하시오.,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,"사업시행주체_목록 contains {'한국산업은행'} -> unique (소관, 지원형태_목록) pair list",L1_strict,surface_rewrite,37,37,1.0,,False
MH04,MultiHop,한국에너지공단이 시행하는 사업의 분야명은?,한국에너지공단이 진행하는 사업들은 어떤 분야에 속하나요?,사업시행주체_목록 contains {'한국에너지공단'} -> unique 분야명 list,L1_strict,colloquial,23,31,1.3478260869565217,,False
MH05,MultiHop,정보통신기획평가원이 시행기관인 사업들의 2026년 예산 합계는?,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,사업시행주체_목록 contains {'정보통신기획평가원'} -> 2026예산 sum,L1_strict,colloquial,35,41,1.1714285714285715,,False
MH06,MultiHop,중소기업기술정보진흥원이 시행하는 내역사업들의 소관기관은?,중소기업기술정보진흥원이 진행하는 내역사업들은 어떤 기관의 소관인가요?,사업시행주체_목록 contains {'중소기업기술정보진흥원'} -> unique 소관 list,L1_strict,colloquial,31,38,1.2258064516129032,,False
MH07,MultiHop,해양경찰청 소관 사업의 시행기관은?,해양경찰청에서 관할하는 사업을 시행하는 기관은 어디인가요?,소관={'해양경찰청'} -> unique 사업시행주체_목록 list,L1_strict,colloquial,19,32,1.6842105263157894,,False
MH08,MultiHop,AI컴퓨팅자원활용기반강화 사업의 내역사업 시행기관들이 담당하는 다른 사업명은 3개까지 나열하시오.,AI컴퓨팅자원활용기반강화 사업을 수행하는 기관들이 맡고 있는 다른 사업 이름을 최대 3개까지 알려주세요.,사업명={'AI컴퓨팅자원활용기반강화'} -> 사업시행주체_목록 기관 추출; 사업시행주체_목록 contains any extracted 기관 AND 사업명!={'AI컴퓨팅자원활용기반강화'} -> unique 사업명 list up to 3,L1_strict,colloquial,54,58,1.0740740740740742,,False
RV01,Reverse,한국지능정보사회진흥원이 시행기관인 사업은 몇 개인가?,NIA가 시행하는 사업의 개수는 몇 개야?,df_subj rows where 사업시행주체={'한국지능정보사회진흥원'} -> row count,L1_strict,abbreviation,29,23,0.7931034482758621,,False
RV02,Reverse,정보통신산업진흥원이 시행기관인 사업명을 3개 나열하시오.,정보통신산업진흥원이 시행하는 사업 중 3개만 이름을 알려줄래?,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 사업명 list up to 3,L1_strict,surface_rewrite,31,34,1.096774193548387,,False
RV03,Reverse,출연 지원형태이면서 고용노동부 소관인 사업 3개까지 나열하시오.,고용부 소관의 출연 형태로 지원되는 사업 중에서 3개를 알려주세요.,소관={'고용노동부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L1_strict,abbreviation|colloquial,35,37,1.0571428571428572,,False
RV04,Reverse,2026년 신규 사업 중 지원형태가 출자인 사업 3개까지 나열하시오.,2026년에 새로 시작하는 사업 중에서 지원 형태가 출자인 사업을 최대 3개까지 알려줘.,사업성격_신규=TRUE AND 지원형태_출자=TRUE -> unique 사업명 list up to 3,L1_strict,surface_rewrite,38,49,1.2894736842105263,,False
RV05,Reverse,금융위원회 소관 신규 사업 3개까지 나열하시오.,금융위에서 새로 시작하는 사업 중 3개만 알려줄 수 있나요?,소관={'금융위원회'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L1_strict,abbreviation,26,33,1.2692307692307692,,False
RV06,Reverse,사업기간이 3년이면서 신규 사업인 것을 3개 나열하시오.,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,사업성격_신규=TRUE AND 사업기간 normalized duration years=3 -> unique 사업명 list up to 3,L1_strict,colloquial,31,34,1.096774193548387,,False
CF01,ComplexFilter,출연 지원형태이면서 과학기술정보통신부 소관이고 2026년 예산이 1000억원(100000백만원) 이상인 사업은 3개까지 나열하시오.,과기정통부 소관 사업 중에서 출연 형태로 지원받고 2026년 예산이 1000억 원 이상인 사업을 최대 3개까지 알려줘.,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=100000 -> unique 사업명 list up to 3,L1_strict,abbreviation,73,66,0.9041095890410958,,False
CF02,ComplexFilter,신규 사업이면서 지원형태가 출자인 사업 중 과학기술정보통신부 소관인 것은?,과기정통부 소관의 새로 시작하는 사업 중에서 지원형태가 출자인 사업은 무엇이 있나요?,소관={'과학기술 정보통신부'} AND 지원형태_출자=TRUE AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L1_strict,abbreviation,41,47,1.146341463414634,,False
CF03,ComplexFilter,중소벤처기업부 소관이면서 계속 사업이고 지원형태가 출연인 사업 3개까지 나열하시오.,중기부에서 계속 사업으로 진행되는 출연 형태의 사업을 최대 3개까지 알려줘.,소관={'중소벤처기업부'} AND 지원형태_출연=TRUE AND 사업성격_계속=TRUE -> unique 사업명 list up to 3,L1_strict,abbreviation,46,42,0.9130434782608695,,False
CF04,ComplexFilter,2026년 예산이 전년 대비 감소했으면서 계속 사업이고 과학기술정보통신부 소관인 사업은 3개까지 나열하시오.,2026년에 예산이 전년보다 줄어들었고 계속 사업으로 과기정통부 소관인 사업을 최대 3개까지 알려주세요.,소관={'과학기술 정보통신부'} AND 사업성격_계속=TRUE AND 예산총괄표_증감(백만원)<0 -> unique 사업명 list up to 3,L1_strict,abbreviation|colloquial,60,58,0.9666666666666667,,False
CF05,ComplexFilter,내역사업이 2개 이상이면서 신규 사업인 것을 3개 나열하시오.,내역사업이 두 개 이상인 새로 시작하는 사업 중에서 세 개를 골라주세요.,사업성격_신규=TRUE AND 내역사업_건수>=2 -> unique 사업명 list up to 3,L1_strict,colloquial,34,40,1.1764705882352942,,False
CF06,ComplexFilter,일반회계이면서 보조 지원형태이고 2026년 신규 사업인 것 중 예산이 가장 큰 사업은?,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,회계_기금={'일반회계'} AND 지원형태_보조=TRUE AND 사업성격_신규=TRUE -> max 2026예산 사업명,L1_strict,colloquial,48,60,1.25,,False
MH09,MultiHop,정보통신기획평가원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,정보통신기획평가원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 소관 list up to 3,L1_strict,colloquial,38,41,1.0789473684210527,,False
MH11,MultiHop,한국산업기술기획평가원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국산업기술기획평가원이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 소관 list up to 3,L1_strict,colloquial,40,44,1.1,,False
MH12,MultiHop,한국지능정보사회진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,NIA가 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 소관 list up to 3,L1_strict,abbreviation|colloquial,40,35,0.875,,False
MH13,MultiHop,한국연구재단이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국연구재단이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국연구재단'} -> unique 소관 list up to 3,L1_strict,colloquial,35,39,1.1142857142857143,,False
MH14,MultiHop,한국보건산업진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국보건산업진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 소관 list up to 3,L1_strict,colloquial,38,41,1.0789473684210527,,False
MH15,MultiHop,한국인터넷진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,KISA가 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 소관 list up to 3,L1_strict,abbreviation|colloquial,37,37,1.0,,False
MH17,MultiHop,한국산업기술진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국산업기술진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 소관 list up to 3,L1_strict,colloquial,38,41,1.0789473684210527,,False
MH18,MultiHop,정보통신기획평가원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,정보통신기획평가원이 시행하는 사업들이 포함된 단위사업명 세 개를 알려줘.,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 단위사업명 list up to 3,L1_strict,surface_rewrite,41,40,0.975609756097561,,False
MH19,MultiHop,정보통신산업진흥원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,정보통신산업진흥원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려줘.,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 단위사업명 list up to 3,L1_strict,surface_rewrite,41,41,1.0,,False
MH20,MultiHop,한국산업기술기획평가원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,한국산업기술기획평가원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려주세요.,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 단위사업명 list up to 3,L1_strict,colloquial,43,45,1.0465116279069768,,False
MH21,MultiHop,한국지능정보사회진흥원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,NIA가 시행하는 사업들이 포함된 단위사업명 세 개만 알려줘.,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 단위사업명 list up to 3,L2_realistic,abbreviation,43,34,0.7906976744186046,,False
MH22,MultiHop,정보통신기획평가원이 시행하는 사업의 분야명은?,IITP가 진행하는 사업들은 어떤 분야에 속해 있어?,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 분야명 list up to 3,L2_realistic,abbreviation|colloquial,25,29,1.16,,False
MH23,MultiHop,정보통신산업진흥원이 시행하는 사업의 분야명은?,NIPA가 진행하는 사업들은 어떤 분야에 속해?,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 분야명 list up to 3,L2_realistic,abbreviation|colloquial,25,26,1.04,,False
MH24,MultiHop,한국산업기술기획평가원이 시행하는 사업의 분야명은?,한국산업기술기획평가원이 하는 사업들은 어떤 분야에 속해?,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 분야명 list up to 3,L2_realistic,colloquial,27,31,1.1481481481481481,,False
MH25,MultiHop,한국지능정보사회진흥원이 시행하는 사업의 분야명은?,NIA가 진행하는 사업들은 어떤 분야에 속해?,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 분야명 list up to 3,L2_realistic,abbreviation|colloquial,27,25,0.9259259259259259,,False
MH26,MultiHop,한국연구재단이 시행기관인 사업명을 3개 나열하시오.,NRF가 시행하는 사업 이름 세 개만 알려줘.,사업시행주체_목록 contains {'한국연구재단'} -> unique 사업명 list up to 3,L2_realistic,abbreviation,28,25,0.8928571428571429,,False
MH27,MultiHop,한국보건산업진흥원이 시행기관인 사업명을 3개 나열하시오.,한국보건산업진흥원이 시행하는 사업 중 세 가지 이름을 알려줄래?,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,31,35,1.1290322580645162,,False
MH28,MultiHop,한국인터넷진흥원이 시행기관인 사업명을 3개 나열하시오.,KISA가 시행하는 사업 이름 3개만 알려줄래?,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 사업명 list up to 3,L2_realistic,abbreviation,30,26,0.8666666666666667,,False
MH30,MultiHop,한국산업기술진흥원이 시행기관인 사업명을 3개 나열하시오.,한국산업기술진흥원이 시행하는 사업 이름 3개만 알려줘.,사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,31,30,0.967741935483871,,False
MH32,MultiHop,한국환경산업기술원이 시행기관인 사업명을 3개 나열하시오.,한국환경산업기술원이 주관하는 사업 중에서 3개만 알려줄래?,사업시행주체_목록 contains {'한국환경산업기술원'} -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,31,32,1.032258064516129,,False
MH33,MultiHop,정보통신기획평가원이 시행기관인 사업들이 속한 부문명을 나열하시오.,정보통신기획평가원이 주관하는 사업들이 포함된 부문명을 알려줘.,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 부문명 list,L2_realistic,surface_rewrite,36,34,0.9444444444444444,,False
MH34,MultiHop,정보통신산업진흥원이 시행기관인 사업들이 속한 부문명을 나열하시오.,NIPA가 시행하는 사업들이 포함된 부문명을 알려줘.,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 부문명 list,L2_realistic,abbreviation,36,29,0.8055555555555556,,False
RV07,Reverse,보건복지부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,복지부에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,소관={'보건복지부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,35,31,0.8857142857142857,,False
RV08,Reverse,해양수산부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,소관={'해양수산부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,35,30,0.8571428571428571,,False
RV09,Reverse,과학기술 정보통신부 소관이면서 지원형태가 보조인 사업을 3개 나열하시오.,과기정통부에서 국고보조 형태로 지원하는 사업 3개만 알려줘.,소관={'과학기술 정보통신부'} AND 지원형태_보조=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,40,33,0.825,,False
RV10,Reverse,중소벤처기업부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,중기부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,소관={'중소벤처기업부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,37,30,0.8108108108108109,,False
RV11,Reverse,산림청 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,산림청에서 출연 형태로 지원하는 사업 3개만 알려줘.,소관={'산림청'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,29,0.8787878787878788,,False
RV12,Reverse,경찰청 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,경찰청에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,소관={'경찰청'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,31,0.9393939393939394,,False
RV13,Reverse,문화체육관광부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,문체부에서 출연 형태로 지원하는 사업 3개만 알려줄래?,소관={'문화체육관광부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,37,30,0.8108108108108109,,False
RV14,Reverse,농촌진흥청 소관이면서 지원형태가 직접인 사업을 3개 나열하시오.,농촌진흥청에서 직접 지원하는 사업 세 개만 알려줘.,소관={'농촌진흥청'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,35,28,0.8,,False
RV15,Reverse,교육부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,교육부에서 출연 형태로 지원하는 사업 3개만 알려줘.,소관={'교육부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,29,0.8787878787878788,,False
