id,type,question,method,pred,precision,recall,f1,matched_items
MH03,MultiHop,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,XLSX Template Executor v4,"(과학기술 정보통신부, 출자) | (금융위원회, 출자)",0.0,0.0,0.0,
MH05,MultiHop,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,XLSX Template Executor v4,1341298백만원,0.0,0.0,0.0,
MH08,MultiHop,AI컴퓨팅자원활용기반강화 사업을 수행하는 기관들이 맡고 있는 다른 사업 이름을 최대 3개까지 알려주세요.,XLSX Template Executor v4,전산운영경비(정보화) | 개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),0.0,0.0,0.0,
RV06,Reverse,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.3333333333333333,0.3333333333333333,0.3333333333333333,개인정보 안전활용 선도기술 개발(R&D)
CF06,ComplexFilter,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,XLSX Template Executor v4,AI 기반 분산전력망 산업 육성,0.0,0.0,0.0,
MH09,MultiHop,정보통신기획평가원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,XLSX Template Executor v4,과학기술 정보통신부 | 13 과학기술정보통신부 | 과학기술정보 통신부,0.5,0.3333333333333333,0.4,과학기술 정보통신부 | 과학기술정보통신부 | 과학기술정보 통신부
RV07,Reverse,복지부에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,XLSX Template Executor v4,한국형 수술질향상 프로젝트(K-NSQIP),0.0,0.0,0.0,
RV08,Reverse,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,XLSX Template Executor v4,AI 완전자율운항선박 기술개발(R&D) | AI응용제품 신속상용화 지원사업 | 국제사회 IUU어업 예방을 위한 원양어선 전자 모니터링기술개발(R&D),0.0,0.0,0.0,
RV22,Reverse,통신 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.3333333333333333,0.3333333333333333,0.3333333333333333,4대 지역외 AX 대전환 기획
RV23,Reverse,과학기술 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.0,0.0,0.0,
RV24,Reverse,보건 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.0,0.0,0.0,
RV25,Reverse,교통 및 물류 분야에서 내년에 새로 하는 사업 3개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 치안데이터활용기술개발 (R&D) | 4대 지역외 AX 대전환 기획,0.0,0.0,0.0,
RV26,Reverse,보건 분야에서 출연 형태로 지원받는 사업 세 개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원,0.0,0.0,0.0,
RV27,Reverse,보건 분야에서 직접 지원하는 사업 세 개만 알려줘.,XLSX Template Executor v4,전산운영경비(정보화) | 112시스템운영(정보화) | 경찰정보화기반고도화(정보화),0.0,0.0,0.0,
RV28,Reverse,농림수산 분야에서 출연 형태로 지원받는 사업 세 개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원,0.0,0.0,0.0,
RV29,Reverse,농림수산 분야에서 직접 지원하는 사업 3개만 알려줄래?,XLSX Template Executor v4,전산운영경비(정보화) | 112시스템운영(정보화) | 경찰정보화기반고도화(정보화),0.0,0.0,0.0,
RV30,Reverse,공공질서및안전 분야에서 출연 형태로 지원받는 사업 세 개만 알려줘.,XLSX Template Executor v4,개인정보 안전활용 선도기술 개발(R&D) | 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원,0.0,0.0,0.0,
CF07,ComplexFilter,과기정통부 소관 사업 중에서 지원형태가 출연인 것 중 2026년 예산이 50000백만원 이상인 사업 3개만 알려줘.,XLSX Template Executor v4,AI반도체실증지원 | AI·SW중심대학 | AI컴퓨팅자원활용기반강화,0.3333333333333333,0.3333333333333333,0.3333333333333333,AI컴퓨팅자원활용기반강화
CF08,ComplexFilter,산업부 관할로 지원 방식이 출연인 2026년 예산이 5만 백만원 이상인 사업 3개를 알려줘.,XLSX Template Executor v4,AI응용제품신속상용화지원사업 | K-온디바이스AI반도체 기술개발(R&D) | 국가로봇테스트필드사업(R&D),0.3333333333333333,0.3333333333333333,0.3333333333333333,K-온디바이스AI반도체 기술개발(R&D)
CF09,ComplexFilter,과기정통부 소관으로 지원형태가 출연인 사업 중 2026년 예산이 10만 백만원 이상인 사업 3개를 알려줘.,XLSX Template Executor v4,AI반도체실증지원 | AI·SW중심대학 | AI컴퓨팅자원활용기반강화,0.3333333333333333,0.3333333333333333,0.3333333333333333,AI컴퓨팅자원활용기반강화
CF13,ComplexFilter,일반회계로 진행되는 보조사업 중 내년에 새로 시작하는 사업 3개만 알려줘.,XLSX Template Executor v4,AI통합바우처 | 디지털배움터(세종) | 디지털배움터(자율),0.0,0.0,0.0,
CF15,ComplexFilter,보건 분야에서 출연 형태로 지원받고 계속 사업인 것 중 3개만 알려줘.,XLSX Template Executor v4,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원 | 과학기술기반군중 밀집관리기술개 발(R&D),0.0,0.0,0.0,
CF16,ComplexFilter,농림수산 분야에서 출연 형태로 계속 진행되는 사업 3개만 알려줘.,XLSX Template Executor v4,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원 | 과학기술기반군중 밀집관리기술개 발(R&D),0.0,0.0,0.0,
CF17,ComplexFilter,교통 및 물류 분야에서 출연 형태로 계속 진행되는 사업 3개만 알려줘.,XLSX Template Executor v4,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) | 안전한 데이터 활용 지원 | 과학기술기반군중 밀집관리기술개 발(R&D),0.0,0.0,0.0,
CF18,ComplexFilter,과기정통부 소관으로 2026년 예산이 전년보다 줄어든 계속 사업 3개를 알려줘.,XLSX Template Executor v4,AI반도체 지원플랫폼 | A I 융합 OTT 글로벌 진출 확산 지원 | AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용,0.0,0.0,0.0,
CF23,ComplexFilter,과학기술 분야에서 내년에 새로 시작하는 사업 중 2026년 예산이 100억 원 이상인 것 3개를 알려줘.,XLSX Template Executor v4,AGI 준비 프로젝트 | AI AGENT 선도 국가 사업 | AI 분야 오픈소스 생태계 조성,0.0,0.0,0.0,
SQA067,Aggregation,"사업을 시행하는 곳이 NIPA인 경우, 몇 개의 사업이 진행 중인가요?",XLSX Template Executor v4,44개,0.0,0.0,0.0,
SQA068,Aggregation,NIA가 주관하는 사업의 개수는 얼마나 되나요?,XLSX Template Executor v4,24개,0.0,0.0,0.0,
SQA069,Aggregation,한국산업기술 기획평가원이 주관하는 사업의 개수는?,XLSX Template Executor v4,28개,0.0,0.0,0.0,
SQA071,Aggregation,과기정통부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,XLSX Template Executor v4,6802026백만원,0.0,0.0,0.0,
SQA072,Aggregation,과기정통부에서 보조사업으로 진행하는 2026년 예산의 총액은?,XLSX Template Executor v4,261184백만원,0.0,0.0,0.0,
SQA074,Aggregation,산업부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,XLSX Template Executor v4,2817085백만원,0.0,0.0,0.0,
SQA078,Aggregation,과기정통부에서 2026년에 예산이 줄어든 사업은 몇 개야?,XLSX Template Executor v4,29개,0.0,0.0,0.0,
