id,type,question,evaluation_mode,f1,precision,recall,text_to_pandas_pred,query_logic,text_to_pandas_plan,primary_error_type,diagnostic_flags,diagnostic_notes,plan_filter_count,plan_columns,plan_values,plan_aggregation
MH03,MultiHop,한국산업은행이 시행하는 사업들의 소관기관과 지원형태를 각각 알려줘.,exact_set,0.0,0.0,0.0,알 수 없음,"사업시행주체_목록 contains {'한국산업은행'} -> unique (소관, 지원형태_목록) pair list","{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국산업은행""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""문서_소관기관"", ""지원형태_목록""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,사업시행주체_목록|문서_소관기관|지원형태_목록,한국산업은행,
MH04,MultiHop,한국에너지공단이 진행하는 사업들은 어떤 분야에 속하나요?,exact_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국에너지공단'} -> unique 분야명 list,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""한국에너지공단""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,실국(기관)|분야명|분야명,한국에너지공단,
MH05,MultiHop,2026년에 정보통신기획평가원이 시행하는 사업들의 예산 총액은 얼마인가요?,exact_value,0.0,0.0,0.0,1303449.78,사업시행주체_목록 contains {'정보통신기획평가원'} -> 2026예산 sum,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""정보통신기획평가원""}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업규모_2026(백만원)""]}",numeric_or_aggregation_mismatch,aggregation_operation_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=sum,1,사업시행주체_목록|사업규모_2026(백만원),정보통신기획평가원,sum
MH08,MultiHop,AI컴퓨팅자원활용기반강화 사업을 수행하는 기관들이 맡고 있는 다른 사업 이름을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.0,0.0,0.0,AI컴퓨팅 자원 활용 기반 강화,사업명={'AI컴퓨팅자원활용기반강화'} -> 사업시행주체_목록 기관 추출; 사업시행주체_목록 contains any extracted 기관 AND 사업명!={'AI컴퓨팅자원활용기반강화'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""사업명"", ""operator"": ""=="", ""value"": ""AI컴퓨팅자원활용기반강화""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""문서_사업명""]}",column_or_schema_grounding_error,aggregation_operation_error|column_or_schema_grounding_error|condition_or_multistep_translation_error,aggregation expected; plan aggregation=None ; used document title/name field in two-stage project-name query ; expected~2 conditions/multistep; plan filters=1,1,사업명|문서_사업명,AI컴퓨팅자원활용기반강화,
RV01,Reverse,NIA가 시행하는 사업의 개수는 몇 개야?,exact_value,0.0,0.0,0.0,0,df_subj rows where 사업시행주체={'한국지능정보사회진흥원'} -> row count,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|numeric_or_aggregation_mismatch,exact-value question not matched ; aggregation expected; plan aggregation=count ; abbreviation kept in plan filter value,1,실국(기관)|사업명,NIA,count
RV06,Reverse,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,exact_set,0.0,0.0,0.0,알 수 없음,사업성격_신규=TRUE AND 사업기간 normalized duration years=3 -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업기간"", ""operator"": ""contains"", ""value"": ""3년""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,no_result_or_empty_answer,empty or no-answer output,2,사업성격_신규|사업기간|사업명,True|3년,
CF01,ComplexFilter,과기정통부 소관 사업 중에서 출연 형태로 지원받고 2026년 예산이 1000억 원 이상인 사업을 최대 3개까지 알려줘.,any_3_from_candidate_set,0.5,1.0,0.3333333333333333,AI컴퓨팅자원활용기반강화,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=100000 -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""소관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}, {""column"": ""예산총괄표_2026열1(백만원)"", ""operator"": "">="", ""value"": 1000000}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 3, ""return_columns"": [""사업명""]}",column_or_schema_grounding_error,aggregation_operation_error|column_or_schema_grounding_error|entity_alias_resolution_error|partial_candidate_coverage_or_output_format_error,aggregation expected; plan aggregation=None ; budget column mismatch from query_logic ; abbreviation kept in plan filter value ; partial match below threshold,3,소관|지원형태_출연|예산총괄표_2026열1(백만원)|사업명|예산총괄표_2026열1(백만원),과기정통부|True|1000000,
CF05,ComplexFilter,내역사업이 두 개 이상인 새로 시작하는 사업 중에서 세 개를 골라주세요.,exact_set,0.0,0.0,0.0,개인정보 안전활용 선도기술 개발(R&D) 3 | AI AGENT 선도 국가 사업 2 | AI·SW중심대학 2,사업성격_신규=TRUE AND 내역사업_건수>=2 -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""내역사업_건수"", ""operator"": "">="", ""value"": 2}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명"", ""내역사업_건수""]}",output_format_error,output_format_error,extra numeric/column values in set answer,2,내역사업_건수|사업성격_신규|사업명|내역사업_건수,2|True,
CF06,ComplexFilter,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,exact_value,0.0,0.0,0.0,,회계_기금={'일반회계'} AND 지원형태_보조=TRUE AND 사업성격_신규=TRUE -> max 2026예산 사업명,"{""filter_conditions"": [{""column"": ""회계기금_구분라벨"", ""operator"": ""=="", ""value"": ""일반회계""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""max"", ""sort_by"": {""column"": ""사업규모_2026(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,aggregation_operation_error|no_result_or_empty_answer|numeric_or_aggregation_mismatch,empty or no-answer output ; exact-value question not matched ; aggregation expected; plan aggregation=max,3,회계기금_구분라벨|지원형태_보조|사업성격_신규|사업명|사업규모_2026(백만원),일반회계|True|True,max
MH09,MultiHop,정보통신기획평가원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.5,1.0,0.3333333333333333,과학기술정보통신부,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""정보통신기획평가원""}], ""group_by"": [""문서_소관기관""], ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""문서_소관기관""]}",column_or_schema_grounding_error,aggregation_operation_error|column_or_schema_grounding_error|partial_candidate_coverage_or_output_format_error,aggregation expected; plan aggregation=None ; used 실국/문서소관 instead of 사업시행주체_목록 ; partial match below threshold,1,사업시행주체_목록|문서_소관기관|문서_소관기관,정보통신기획평가원,
MH12,MultiHop,NIA가 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,exact_set,0.6666666666666666,1.0,0.5,과학기술 정보통신부 | 과학기술정보 통신부,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|partial_candidate_coverage_or_output_format_error,aggregation expected; plan aggregation=None ; abbreviation kept in plan filter value ; partial match below threshold,1,사업시행주체_목록|소관,NIA,
MH13,MultiHop,한국연구재단이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.5,1.0,0.3333333333333333,과학기술 정보통신부 | 과학기술정보 통신부,사업시행주체_목록 contains {'한국연구재단'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국연구재단""}], ""group_by"": [""소관""], ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",aggregation_operation_error,aggregation_operation_error|partial_candidate_coverage_or_output_format_error,aggregation expected; plan aggregation=None ; partial match below threshold,1,사업시행주체_목록|소관|소관,한국연구재단,
MH14,MultiHop,한국보건산업진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.0,0.0,0.0,23 보건복지부,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국보건산업진흥원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",aggregation_operation_error,aggregation_operation_error|output_format_error,aggregation expected; plan aggregation=None ; extra numeric/column values in set answer,1,사업시행주체_목록|소관,한국보건산업진흥원,
MH15,MultiHop,KISA가 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""KISA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",no_result_or_empty_answer,aggregation_operation_error|column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; aggregation expected; plan aggregation=None ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|소관,KISA,
MH21,MultiHop,NIA가 시행하는 사업들이 포함된 단위사업명 세 개만 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 단위사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""단위사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|단위사업명,NIA,
MH22,MultiHop,IITP가 진행하는 사업들은 어떤 분야에 속해 있어?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""IITP""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|분야명|분야명,IITP,
MH23,MultiHop,NIPA가 진행하는 사업들은 어떤 분야에 속해?,exact_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIPA""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|분야명|분야명,NIPA,
MH24,MultiHop,한국산업기술기획평가원이 하는 사업들은 어떤 분야에 속해?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국산업기술기획평가원""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,문서_소관기관|분야명|분야명,한국산업기술기획평가원,
MH25,MultiHop,NIA가 진행하는 사업들은 어떤 분야에 속해?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""NIA""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|분야명|분야명,NIA,
MH26,MultiHop,NRF가 시행하는 사업 이름 세 개만 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국연구재단'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NRF""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|사업명,NRF,
MH28,MultiHop,KISA가 시행하는 사업 이름 3개만 알려줄래?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""KISA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|사업명,KISA,
MH30,MultiHop,한국산업기술진흥원이 시행하는 사업 이름 3개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,No-Code 제조기술 혁신 생태계 구축 | 미래이차전지원료소재실증 플랫폼기반구축 | 바이오산업개방형 생태계조성촉진,사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국산업기술진흥원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,1,사업시행주체_목록|사업명,한국산업기술진흥원,
MH32,MultiHop,한국환경산업기술원이 주관하는 사업 중에서 3개만 알려줄래?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국환경산업기술원'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국환경산업기술원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,문서_소관기관|사업명,한국환경산업기술원,
MH33,MultiHop,정보통신기획평가원이 주관하는 사업들이 포함된 부문명을 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 부문명 list,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""정보통신기획평가원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""부문명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,문서_소관기관|부문명,정보통신기획평가원,
MH34,MultiHop,NIPA가 시행하는 사업들이 포함된 부문명을 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 부문명 list,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIPA""}], ""group_by"": [""부문명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""부문명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|부문명|부문명,NIPA,
RV08,Reverse,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,any_3_from_candidate_set,0.3333333333333333,0.3333333333333333,0.3333333333333333,AI기반 스마트 어업관리 시스템 개발(R&D) | AI 완전자율운항선박 기술개발(R&D) | AI응용제품 신속상용화 지원사업,소관={'해양수산부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""해수부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,2,문서_소관기관|지원형태_출연|사업명,해수부|True,
RV09,Reverse,과기정통부에서 국고보조 형태로 지원하는 사업 3개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,A I 융합 OTT 글로벌 진출 확산 지원 | AI통합바우처 | 데이터 활용확산 정책지원,소관={'과학기술 정보통신부'} AND 지원형태_보조=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",entity_alias_resolution_error,entity_alias_resolution_error|partial_candidate_coverage_or_output_format_error,abbreviation kept in plan filter value ; partial match below threshold,2,문서_소관기관|지원형태_보조|사업명,과기정통부|True,
